,artist_name,artist_pop,artist_genres,track_name,track_id,track_uri,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,year
0,Alan Walker,82,['electro house'],Faded,1brwdYwjltrJo7WHpIvbYt,1brwdYwjltrJo7WHpIvbYt,0,0.589,0.651,6,-5.097,1,0.0306,0.0291,3.2e-06,0.111,0.166,90.011,audio_features,1brwdYwjltrJo7WHpIvbYt,spotify:track:1brwdYwjltrJo7WHpIvbYt,https://api.spotify.com/v1/tracks/1brwdYwjltrJo7WHpIvbYt,https://api.spotify.com/v1/audio-analysis/1brwdYwjltrJo7WHpIvbYt,212627,4,2016
1,Twenty One Pilots,81,"['modern rock', 'rock']",Ride,2Z8WuEywRWYTKe1NybPQEW,2Z8WuEywRWYTKe1NybPQEW,83,0.645,0.713,6,-5.355,1,0.0393,0.00835,0.0,0.113,0.566,74.989,audio_features,2Z8WuEywRWYTKe1NybPQEW,spotify:track:2Z8WuEywRWYTKe1NybPQEW,https://api.spotify.com/v1/tracks/2Z8WuEywRWYTKe1NybPQEW,https://api.spotify.com/v1/audio-analysis/2Z8WuEywRWYTKe1NybPQEW,214507,4,2016
2,New Beat Fund,41,[],No Type,4fxtYgcIOqjCq9Ix1pvrzn,4fxtYgcIOqjCq9Ix1pvrzn,47,0.619,0.622,5,-4.751,1,0.0328,0.00283,0.000133,0.108,0.21,136.978,audio_features,4fxtYgcIOqjCq9Ix1pvrzn,spotify:track:4fxtYgcIOqjCq9Ix1pvrzn,https://api.spotify.com/v1/tracks/4fxtYgcIOqjCq9Ix1pvrzn,https://api.spotify.com/v1/audio-analysis/4fxtYgcIOqjCq9Ix1pvrzn,213797,4,2016
3,The Strumbellas,58,"['canadian indie', 'folk-pop', 'pop rock', 'stomp and holler']",Spirits,1mqbTByfUxLPeqN1YEw08a,1mqbTByfUxLPeqN1YEw08a,0,0.553,0.724,0,-3.695,1,0.0268,0.159,0.0,0.108,0.775,80.517,audio_features,1mqbTByfUxLPeqN1YEw08a,spotify:track:1mqbTByfUxLPeqN1YEw08a,https://api.spotify.com/v1/tracks/1mqbTByfUxLPeqN1YEw08a,https://api.spotify.com/v1/audio-analysis/1mqbTByfUxLPeqN1YEw08a,203653,4,2016
4,Kygo,81,"['edm', 'pop', 'pop dance', 'tropical house']",Raging (feat. Kodaline),6DsFZITJMPnh8z5XewfVmL,6DsFZITJMPnh8z5XewfVmL,61,0.55,0.689,3,-7.76,0,0.094,0.0498,0.0,0.207,0.408,99.904,audio_features,6DsFZITJMPnh8z5XewfVmL,spotify:track:6DsFZITJMPnh8z5XewfVmL,https://api.spotify.com/v1/tracks/6DsFZITJMPnh8z5XewfVmL,https://api.spotify.com/v1/audio-analysis/6DsFZITJMPnh8z5XewfVmL,224487,4,2016
5,Placebo,67,"['alternative rock', 'britpop', 'permanent wave', 'pop rock', 'rock']",Song to Say Goodbye,2DO7ywgu9cdNqXf7Cukys9,2DO7ywgu9cdNqXf7Cukys9,25,0.436,0.887,11,-4.748,1,0.0799,0.00613,0.00509,0.0993,0.437,165.033,audio_features,2DO7ywgu9cdNqXf7Cukys9,spotify:track:2DO7ywgu9cdNqXf7Cukys9,https://api.spotify.com/v1/tracks/2DO7ywgu9cdNqXf7Cukys9,https://api.spotify.com/v1/audio-analysis/2DO7ywgu9cdNqXf7Cukys9,216187,4,2016
6,Dzeko & Torres,49,"['edm', 'electro house', 'pop dance', 'progressive electro house']",L'Amour Toujours - Tiësto Edit,2TcZ05FR0xQWZOaFWyRWUt,2TcZ05FR0xQWZOaFWyRWUt,0,0.591,0.931,3,-2.867,1,0.0967,0.00763,0.000216,0.153,0.17,129.975,audio_features,2TcZ05FR0xQWZOaFWyRWUt,spotify:track:2TcZ05FR0xQWZOaFWyRWUt,https://api.spotify.com/v1/tracks/2TcZ05FR0xQWZOaFWyRWUt,https://api.spotify.com/v1/audio-analysis/2TcZ05FR0xQWZOaFWyRWUt,162462,4,2016
7,Tom Rosenthal,70,['british singer-songwriter'],It's Ok - Acoustic,0n7SOZQxz42EtZef7lEPoy,0n7SOZQxz42EtZef7lEPoy,0,0.616,0.0663,8,-12.73,0,0.0386,0.985,0.00408,0.101,0.18,148.044,audio_features,0n7SOZQxz42EtZef7lEPoy,spotify:track:0n7SOZQxz42EtZef7lEPoy,https://api.spotify.com/v1/tracks/0n7SOZQxz42EtZef7lEPoy,https://api.spotify.com/v1/audio-analysis/0n7SOZQxz42EtZef7lEPoy,191351,4,2016
8,The Him,54,"['big room', 'deep tropical house', 'edm', 'electro house', 'pop dance', 'pop edm', 'tropical house']",Feels Like Home - Radio Edit,3vwmTGh2zgxxoJzvcvJfhm,3vwmTGh2zgxxoJzvcvJfhm,0,0.633,0.83,8,-3.754,1,0.153,0.0232,0.000372,0.0948,0.457,121.978,audio_features,3vwmTGh2zgxxoJzvcvJfhm,spotify:track:3vwmTGh2zgxxoJzvcvJfhm,https://api.spotify.com/v1/tracks/3vwmTGh2zgxxoJzvcvJfhm,https://api.spotify.com/v1/audio-analysis/3vwmTGh2zgxxoJzvcvJfhm,184918,4,2016
9,Zedd,76,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'tropical house']",Beautiful Now,7FJP35tUJ2121EJsFpU1Gh,7FJP35tUJ2121EJsFpU1Gh,0,0.628,0.833,11,-4.126,0,0.0282,0.0079,1.48e-05,0.074,0.56,128.003,audio_features,7FJP35tUJ2121EJsFpU1Gh,spotify:track:7FJP35tUJ2121EJsFpU1Gh,https://api.spotify.com/v1/tracks/7FJP35tUJ2121EJsFpU1Gh,https://api.spotify.com/v1/audio-analysis/7FJP35tUJ2121EJsFpU1Gh,218293,4,2016
